Blwyddyn,Nifer o eiriau
1804,1222576,
1805,1285389,
1806,1189793,
1807,1096952,
1808,2215190,
1809,2193144,
1810,2949265,
1811,3317952,
1812,3468490,
1813,2349727,
1814,3399931,
1815,2812422,
1816,2020908,
1817,547054,
1818,1273321,
1819,1227915,
1820,1321823,
1821,1287052,
1822,1310560,
1823,2573777,
1824,2742156,
1825,2722401,
1826,1476085,
1827,1911261,
1828,4507541,
1829,5443949,
1830,6182521,
1831,5917111,
1832,4922097,
1833,6892660,
1834,6141790,
1835,9647489,
1836,8597391,
1837,8626326,
1838,8865649,
1839,8794666,
1840,9025766,
1841,11636977,
1842,9598769,
1843,11069453,
1844,11811726,
1845,13655707,
1846,15305603,
1847,13875424,
1848,16252430,
1849,17641951,
1850,17574203,
1851,18542334,
1852,17617540,
1853,15466526,
1854,17753609,
1855,19018443,
1856,23693076,
1857,29228168,
1858,28229790,
1859,36191422,
1860,35699074,
1861,38988963,
1862,37943009,
1863,41865737,
1864,45732514,
1865,47598769,
1866,44774793,
1867,49171578,
1868,53236200,
1869,69469454,
1870,63563121,
1871,65948093,
1872,65675050,
1873,91799643,
1874,82860526,
1875,91562127,
1876,97135125,
1877,98662690,
1878,111275420,
1879,109727640,
1880,108454329,
1881,112828661,
1882,113410111,
1883,112873896,
1884,110919980,
1885,126238044,
1886,104711364,
1887,118974452,
1888,115241641,
1889,126404159,
1890,136945744,
1891,162946777,
1892,185519220,
1893,217757695,
1894,226641040,
1895,238729592,
1896,211864213,
1897,195034713,
1898,212707882,
1899,269941641,
1900,256129111,
1901,179968157,
1902,180834188,
1903,179386842,
1904,179144156,
1905,192595716,
1906,201810906,
1907,229146591,
1908,225635736,
1909,241771316,
1910,257268445,
1911,1687309,
1912,1606897,
1913,31543671,
1914,86810532,
1915,83761493,
1916,71981643,
1917,62340806,
1918,52045208,
1919,57325137,
